Eingangsspannung V	Strom mV/1kOhm	Spannung V	
12.1	-0.2	12.1
11.8	-0.1	11.8
11.4	-0.1	11.4
11.2	-0.1	11.2
11.0	-0.1	11.0
10.8	-0.1	10.8
10.5	-0.1	10.5
10.2	-0.1	10.2
10.0	-0.1	10.0	
9.8	-0.1	9.8	
9.7	-0.1	9.7
9.5	-0.1	9.5	
9.3	-0.1	9.3	
9.2	-0.1	9.2	
9.0	-0.1	9.0	
8.8	-0.1	8.8	
8.7	-0.1	8.7	
8.5	-0.1	8.5	
8.3	-0.1	8.3	
8.2	-0.1	8.2	
8.0	-0.1	8.0	
7.8	-0.1	7.8	
7.7	-0.1	7.7	
7.5	0.0	7.5	
7.3	1.0	7.3	
7.2	1.0	7.2	
7.0	1.0	7.0	
6.8	1.0	6.8	
6.7	1.0	6.7	
6.5	1.0	6.5	
6.3	2.0	6.3	
6.2	3.0	6.2	
6.0	4.0	6.0	
5.8	7.0	5.8	
5.7	8.0	5.7	
5.5	13.0	5.5	
5.3	22.0	5.3	
5.2	26.0	5.2	
5.0	37.0	5.0	
4.8	56.0	4.8	
4.7	62.0	4.7	
4.5	87.0	4.5	
4.3	121.0	4.3	
4.2	137.0	4.2	
4.0	178.0	4.0	
3.8	216.0	3.8	
3.7	235.0	3.7	
3.5	257.0	3.5	
3.3	272.0	3.3	
3.2	278.0	3.2	
3.0	286.0	3.0	
2.8	295.0	2.8	
2.7	301.0	2.7	
2.5	309.0	2.5	
2.3	315.0	2.3	
2.2	318.0	2.2	
2.0	322.0	2.0	
1.8	328.0	1.8	
1.7	330.0	1.7	
1.5	332.0	1.5	
1.3	338.0	1.3	
1.2	340.0	1.2	
1.0	343.0	1.0	
0.8	347.0	0.8	
0.7	348.0	0.7	
0.5	350.0	0.5	
0.3	352.0	0.3	
0.2	354.0	0.2	
